TSS	Adf1_4_7mer	CrebA_2_7mer	brk_4_7mer	esg_7mer	h_1_7mer	h_2_7mer	h_3_7mer	hkb_7mer
FBgn0000556:chr2R:7779804:+	0	0	0	0	0	0	0	1
FBgn0000567:chr3L:17569420:-	3	0	0	0	0	0	0	0
FBgn0000567:chr3L:17569726:-	3	0	0	0	0	0	0	0
FBgn0000567:chr3L:17612407:-	0	0	0	0	0	0	0	2
FBgn0000568:chr3L:17964539:-	1	0	0	0	0	0	0	0
FBgn0000591:chr3R:21866046:+	1	0	0	0	0	0	0	0
FBgn0000606:chr2R:5866746:+	1	0	0	0	0	0	0	0
FBgn0000630:chrX:17153508:+	1	0	0	0	0	0	0	0
FBgn0000636:chr2L:18320101:+	1	0	0	0	0	0	0	0
FBgn0000636:chr2L:18320123:+	1	0	0	0	0	0	0	0
FBgn0001090:chrX:18691712:-	1	0	0	0	0	0	0	0
FBgn0001104:chr3L:6973153:-	0	2	0	0	0	0	0	0
FBgn0001134:chr3L:17822058:+	2	0	0	0	0	0	0	0
FBgn0001138:chr3R:4007164:-	0	0	0	0	0	0	0	2
FBgn0001142:chr2L:132060:+	1	0	0	0	0	0	0	0
FBgn0001145:chrX:11317991:+	3	0	0	0	0	0	0	0
FBgn0001150:chrX:2322996:-	0	0	0	0	0	0	0	1
FBgn0001186:chrX:9479918:+	2	0	0	0	0	0	0	0
FBgn0001203:chrX:10148337:-	2	0	0	0	0	0	0	0
FBgn0001254:chr3L:3512677:-	1	0	0	0	0	0	0	0
FBgn0001257:chr3L:4225950:-	0	2	0	0	0	0	0	0
FBgn0001269:chr2R:7361970:+	0	0	0	0	0	0	0	1
FBgn0001291:chr2R:5984442:+	0	2	0	0	0	0	0	0
FBgn0001297:chr3R:25598701:+	1	0	0	0	0	2	1	1
FBgn0001319:chr2R:10686459:-	0	0	0	0	0	0	0	1
FBgn0001323:chr3L:20613636:-	1	0	0	0	0	0	0	0
FBgn0002023:chr2L:19108108:-	3	0	0	0	0	0	0	0
FBgn0002069:chr2R:8767824:+	0	2	0	0	0	0	0	0
FBgn0002522:chr3R:2504312:-	0	0	0	0	0	0	0	1
FBgn0002525:chr2L:5542527:+	0	0	0	0	0	0	0	1
FBgn0002561:chrX:303756:+	2	0	0	0	0	0	0	0
FBgn0002577:chrX:11648306:+	1	0	0	0	0	0	0	0
FBgn0002633:chr3R:21862760:+	1	0	0	0	0	0	0	0
FBgn0002643:chr2R:9919184:+	2	0	0	0	0	0	0	0
FBgn0002733:chr3R:21831745:-	1	0	0	0	0	0	0	0
FBgn0002922:chr3R:19544079:-	0	0	0	0	0	0	0	1
FBgn0002941:chr3R:17383004:-	0	0	0	0	0	0	0	1
FBgn0002945:chr3L:19038431:-	1	0	0	0	0	0	0	0
FBgn0002985:chr2L:3606748:-	1	0	0	0	0	0	0	0
FBgn0003015:chr3R:4760853:+	1	0	0	0	0	0	0	0
FBgn0003053:chrX:4511602:+	1	0	0	0	0	0	0	0
FBgn0003090:chr2R:3059696:+	1	0	0	0	0	0	0	0
FBgn0003091:chr2R:12812459:+	0	0	0	0	0	2	0	0
FBgn0003091:chr2R:12812632:+	0	0	0	0	0	2	0	0
FBgn0003117:chr3R:11860112:+	3	0	0	0	0	0	0	0
FBgn0003118:chr3R:19140031:-	0	0	0	1	0	0	0	0
FBgn0003118:chr3R:19171884:-	1	0	0	0	0	0	0	0
FBgn0003137:chr3R:24366053:-	1	0	0	0	0	0	0	0
FBgn0003140:chr2R:13844075:-	0	0	0	0	0	0	0	1
FBgn0003159:chrX:2243908:-	0	0	0	0	1	0	1	1
FBgn0003175:chr2R:18434061:-	1	0	0	0	0	0	0	0
FBgn0003177:chr3R:4671984:-	1	0	0	0	0	0	0	0
FBgn0003177:chr3R:4672010:-	1	0	0	0	0	0	0	0
FBgn0003218:chrX:13661697:+	1	0	0	0	0	0	0	0
FBgn0003254:chr2R:15163231:+	1	0	0	0	0	0	0	0
FBgn0003255:chr2L:14001252:-	1	0	0	0	0	0	0	0
FBgn0003261:chr3R:1828439:-	1	0	0	0	0	0	0	0
FBgn0003300:chrX:20565468:+	1	0	0	0	0	0	0	0
FBgn0003326:chr2R:8668049:+	1	0	0	0	0	0	0	0
FBgn0003360:chrX:10678487:-	1	0	0	0	0	0	0	0
FBgn0003360:chrX:10680978:-	0	0	0	0	0	0	1	0
FBgn0003371:chrX:2528248:+	1	0	0	0	0	0	0	0
FBgn0003371:chrX:2537100:+	1	0	0	0	0	0	0	0
FBgn0003380:chrX:17884712:-	1	0	0	0	0	0	0	0
FBgn0003380:chrX:17909268:-	2	0	0	0	0	0	0	0
FBgn0003396:chr2R:7061325:+	0	0	0	0	0	0	0	1
FBgn0003396:chr2R:7086376:+	0	0	2	0	0	0	0	0
FBgn0003423:chrX:21246451:+	0	2	0	0	0	0	0	0
FBgn0003425:chr2R:11801470:-	0	0	0	0	0	0	0	1
FBgn0003425:chr2R:11809623:-	1	0	0	0	0	0	0	0
FBgn0003435:chr2R:15519006:-	1	0	0	0	0	0	0	0
FBgn0003435:chr2R:15519007:-	1	0	0	0	0	0	0	0
FBgn0003499:chr3R:13916525:+	0	0	0	0	1	0	1	0
FBgn0003499:chr3R:13947788:+	0	0	0	0	1	2	1	0
FBgn0003499:chr3R:13947920:+	0	0	0	0	1	2	1	0
FBgn0003502:chr2L:8274287:-	0	0	0	0	0	0	0	1
FBgn0003502:chr2L:8277698:-	1	0	0	0	0	0	0	0
FBgn0003507:chr3R:11811923:+	0	0	0	0	0	2	0	1
FBgn0003513:chr3R:12229405:-	1	0	0	0	1	0	1	1
FBgn0003525:chr3R:25081502:-	0	0	0	0	0	0	0	1
FBgn0003659:chrX:6986910:-	0	0	0	0	0	0	1	0
FBgn0003715:chr2R:20986688:-	3	0	0	0	0	0	0	1
FBgn0003720:chr3R:26678037:+	1	0	0	0	0	0	0	0
FBgn0003731:chr2R:17435074:+	0	2	0	0	0	0	0	0
FBgn0003870:chr3R:27539606:+	1	0	0	0	0	0	0	0
FBgn0003870:chr3R:27550731:+	1	0	0	0	0	0	0	0
FBgn0003884:chr3R:2912260:+	0	2	0	0	0	0	0	0
FBgn0003888:chr2R:20193405:+	1	0	0	0	0	0	0	0
FBgn0003896:chr2L:18881256:-	1	0	0	1	0	0	0	0
FBgn0003900:chr2R:18933631:+	0	2	0	0	0	0	0	0
FBgn0003900:chr2R:18933849:+	0	2	0	0	0	0	0	0
FBgn0003986:chrX:485075:+	1	0	0	0	0	0	0	0
FBgn0003997:chr3L:18178737:-	1	0	0	0	0	0	0	0
FBgn0004055:chr2R:20899573:+	0	2	0	0	0	0	0	0
FBgn0004102:chrX:8544710:-	2	0	0	0	0	0	0	0
FBgn0004108:chr3L:16766622:+	0	0	0	0	0	0	0	1
FBgn0004168:chr2R:14954664:+	1	0	0	0	0	0	0	0
FBgn0004363:chr2L:10850340:-	0	2	0	0	0	0	0	0
FBgn0004364:chr2R:15999016:+	1	0	0	0	0	0	0	0
FBgn0004387:chr3R:23384836:-	1	0	0	0	0	0	0	0
FBgn0004394:chr2L:12657829:+	0	0	0	0	0	0	0	1
FBgn0004396:chr3L:15528514:+	1	0	0	0	0	0	0	0
FBgn0004397:chrX:2116492:-	1	0	0	0	0	0	0	0
FBgn0004399:chr2R:6445520:+	1	0	0	0	0	0	0	0
FBgn0004399:chr2R:6456732:+	2	0	0	0	0	0	0	0
FBgn0004399:chr2R:6471199:+	1	0	0	0	0	0	0	0
FBgn0004516:chr3L:4085827:-	0	2	0	0	0	0	0	0
FBgn0004577:chr3R:12840340:+	1	0	0	0	0	0	0	0
FBgn0004583:chr2L:431253:+	1	0	0	0	0	0	0	0
FBgn0004595:chr3R:7197709:+	1	0	0	0	0	0	0	0
FBgn0004606:chr3R:26591648:+	1	0	0	0	0	0	0	0
FBgn0004618:chr3R:14198460:-	1	0	0	0	0	0	0	0
FBgn0004636:chr3L:1862234:-	1	0	0	0	0	0	0	0
FBgn0004646:chrX:6875731:-	1	0	0	0	0	0	0	0
FBgn0004648:chrX:393314:+	0	2	0	0	0	0	0	0
FBgn0004652:chr3R:14264493:-	1	0	0	0	0	2	0	0
FBgn0004652:chr3R:14306125:-	2	0	0	0	0	0	0	0
FBgn0004839:chr2R:7907329:-	1	0	0	0	0	0	0	0
FBgn0004854:chrX:17208614:+	0	0	0	1	0	0	0	0
FBgn0004861:chrX:2030578:-	1	0	0	0	0	0	0	0
FBgn0004861:chrX:2030888:-	1	0	0	0	0	0	0	0
FBgn0004865:chr3L:21233449:+	2	0	0	0	0	0	1	0
FBgn0004870:chr3L:1101089:-	1	0	0	0	0	0	0	0
FBgn0004889:chr3R:5959869:-	2	0	0	0	0	0	0	0
FBgn0004889:chr3R:5960224:-	1	0	0	0	0	0	0	0
FBgn0004896:chr2R:18754044:+	0	0	0	0	0	0	0	1
FBgn0004956:chrX:18201858:-	1	0	0	0	0	0	0	0
FBgn0004956:chrX:18203021:-	1	0	0	0	0	0	0	0
FBgn0005278:chr2L:107760:+	1	0	0	0	0	0	0	0
FBgn0005278:chr2L:107926:+	1	0	0	0	0	0	0	0
FBgn0005278:chr2L:108089:+	1	0	0	0	0	0	0	0
FBgn0005278:chr2L:108094:+	1	0	0	0	0	0	0	0
FBgn0005411:chrX:16253072:-	0	2	0	0	0	0	0	0
FBgn0005427:chrX:170410:-	1	0	0	0	0	0	0	0
FBgn0005613:chr2R:10099914:-	1	0	0	0	0	0	0	0
FBgn0005630:chr2R:6422521:-	1	0	0	0	0	0	0	0
FBgn0005630:chr2R:6422533:-	1	0	0	0	0	0	0	0
FBgn0005630:chr2R:6422534:-	1	0	0	0	0	0	0	0
FBgn0005630:chr2R:6422583:-	1	0	0	0	0	0	0	0
FBgn0005638:chr2R:20221829:-	1	0	0	0	0	0	0	0
FBgn0005640:chr3L:3543582:+	1	0	0	0	0	0	0	0
FBgn0005640:chr3L:3545322:+	1	0	0	0	0	0	0	0
FBgn0005658:chr3L:6091222:+	1	0	0	0	0	0	0	0
FBgn0005658:chr3L:6093357:+	1	0	0	0	0	0	0	0
FBgn0005659:chr3R:23562262:+	0	0	0	0	0	0	0	1
FBgn0005671:chr3R:8453423:-	0	2	0	0	0	2	1	0
FBgn0005671:chr3R:8453436:-	0	2	0	0	0	2	1	0
FBgn0005671:chr3R:8453551:-	0	2	0	0	0	2	1	0
FBgn0005677:chr2L:16485670:-	1	0	0	0	0	0	0	0
FBgn0005677:chr2L:16485984:-	1	0	0	0	0	0	0	0
FBgn0008651:chr3R:17259832:-	0	2	0	0	0	0	0	1
FBgn0008651:chr3R:17259845:-	0	2	0	0	0	0	0	1
FBgn0010109:chr2R:4119832:-	1	0	0	0	0	0	0	0
FBgn0010228:chr2R:17590413:-	1	0	0	0	0	0	0	0
FBgn0010228:chr2R:17591993:-	1	0	0	0	0	0	0	0
FBgn0010256:chrX:16342710:+	1	0	0	0	0	0	0	0
FBgn0010389:chr3R:13875083:-	0	0	0	0	0	0	1	0
FBgn0010389:chr3R:13875086:-	0	0	0	0	0	0	1	0
FBgn0010399:chr3R:1349046:-	1	0	0	0	0	0	0	0
FBgn0010414:chr2R:20298070:-	0	0	0	0	0	2	0	0
FBgn0010433:chr3R:4103514:+	0	0	1	0	0	0	0	0
FBgn0010434:chr2R:15116570:+	0	0	0	0	0	0	0	1
FBgn0010470:chr2R:17384713:-	1	0	0	0	0	0	0	0
FBgn0010501:chr2R:19438838:+	1	0	0	0	0	0	0	0
FBgn0011206:chr3L:9118379:-	2	0	0	0	0	0	0	0
FBgn0011206:chr3L:9118395:-	2	0	0	0	0	0	0	0
FBgn0011219:chr2L:8083422:+	1	0	0	0	0	0	0	0
FBgn0011224:chr3R:27763110:-	4	0	0	0	0	0	0	0
FBgn0011272:chr2L:9967312:+	0	0	0	0	0	2	1	0
FBgn0011272:chr2L:9967330:+	0	0	0	0	0	2	1	0
FBgn0011274:chr2L:17420093:-	0	2	0	0	0	0	0	0
FBgn0011278:chr3R:17272042:-	1	0	0	0	0	0	0	0
FBgn0011581:chr3R:20167275:+	0	0	0	0	0	0	0	1
FBgn0011656:chr2R:5817102:-	2	0	0	0	0	0	0	0
FBgn0011661:chrX:8785834:-	1	0	0	0	0	0	0	0
FBgn0011661:chrX:8785836:-	1	0	0	0	0	0	0	0
FBgn0011666:chr3R:21344045:+	0	0	0	0	0	2	0	0
FBgn0011725:chr3R:20026724:-	1	0	0	0	0	0	0	0
FBgn0011758:chrX:17291534:+	1	0	0	0	0	0	0	0
FBgn0011766:chr3R:17458744:-	1	0	0	0	0	0	0	0
FBgn0011826:chrX:16454052:-	1	0	0	0	0	0	0	0
FBgn0011828:chr3L:2630072:-	1	0	0	0	0	0	0	0
FBgn0012034:chr3L:21269445:-	0	0	0	0	0	2	0	0
FBgn0013272:chr2R:18205167:+	0	0	0	1	0	0	0	0
FBgn0013272:chr2R:18205170:+	0	0	0	1	0	0	0	0
FBgn0013272:chr2R:18205184:+	0	0	0	1	0	0	0	0
FBgn0013300:chr2L:14881652:-	0	2	0	0	0	0	0	1
FBgn0013305:chr2R:8767328:-	0	2	0	0	0	0	0	0
FBgn0013342:chr3L:1637767:-	0	0	0	0	0	0	0	1
FBgn0013469:chr3L:11001924:-	2	0	0	0	0	0	0	0
FBgn0013576:chr3R:1109077:-	1	0	0	0	0	0	0	0
FBgn0013717:chr3L:18615231:-	1	0	0	0	0	0	0	0
FBgn0013718:chr3L:14198532:+	0	0	0	0	0	0	0	1
FBgn0013725:chr2R:10319840:-	0	2	0	0	0	0	0	0
FBgn0013726:chr2R:4125364:+	0	0	0	0	0	0	0	1
FBgn0013733:chr2R:9798442:-	2	0	0	0	0	0	0	0
FBgn0013733:chr2R:9798451:-	2	0	0	0	0	0	0	0
FBgn0013751:chr3L:3846153:+	0	0	0	0	1	2	1	1
FBgn0013751:chr3L:3846211:+	0	0	0	0	1	2	1	1
FBgn0013759:chr3R:17634409:-	1	0	0	0	0	0	0	0
FBgn0013767:chr3R:10140658:+	0	0	0	0	0	0	0	1
FBgn0013813:chr3R:24312675:+	1	0	0	0	0	0	0	0
FBgn0013948:chr3R:17774836:+	2	0	0	0	0	0	0	0
FBgn0013983:chr2R:14301077:-	1	0	0	0	0	0	0	0
FBgn0013988:chr2R:11840023:-	0	0	0	0	0	0	0	1
FBgn0013995:chr3R:16803998:+	1	0	0	0	0	0	0	0
FBgn0013997:chr3L:12139675:+	0	0	0	0	0	0	0	1
FBgn0014002:chr3L:15134588:-	0	0	0	0	0	0	0	1
FBgn0014028:chr2R:2695116:+	0	0	0	0	0	0	0	1
FBgn0014163:chr3L:16401545:-	1	0	0	0	0	0	0	0
FBgn0014269:chr2R:14858656:-	1	0	0	0	0	0	0	0
FBgn0014343:chr3L:12686848:+	1	0	0	0	0	0	0	0
FBgn0014467:chrX:18265436:+	1	2	0	0	0	0	0	0
FBgn0014859:chr2L:20714416:-	1	0	0	0	0	0	1	0
FBgn0014859:chr2L:20714589:-	1	0	0	0	0	0	1	0
FBgn0014865:chr2R:11296351:+	0	0	0	0	0	0	0	1
FBgn0014869:chr3R:24973970:+	0	0	0	0	0	0	0	1
FBgn0014869:chr3R:24974084:+	0	0	0	0	0	0	0	1
FBgn0014869:chr3R:24974103:+	0	0	0	0	0	0	0	1
FBgn0015024:chrX:12547816:+	1	0	0	0	0	0	0	0
FBgn0015286:chrX:3613665:-	1	0	0	0	0	0	0	0
FBgn0015295:chr2R:12090388:-	0	0	0	0	0	0	0	1
FBgn0015323:chr3R:14531174:+	1	0	0	0	0	0	0	0
FBgn0015402:chr3R:1309607:-	1	0	0	0	0	0	0	0
FBgn0015513:chr3R:19607508:+	1	0	0	0	0	0	0	0
FBgn0015550:chr3L:17352750:+	0	0	0	0	1	0	1	0
FBgn0015567:chr2L:414775:-	0	2	0	0	0	0	0	0
FBgn0015576:chr3R:3341391:-	0	0	1	0	0	0	0	0
FBgn0015591:chr3R:20590780:-	1	0	0	0	0	0	0	0
FBgn0015664:chr2L:9967455:-	0	0	0	0	0	2	1	0
FBgn0015766:chr3L:5570448:-	1	0	0	0	0	0	0	0
FBgn0015903:chr2R:19468615:+	2	0	0	0	0	0	0	0
FBgn0015904:chr3L:12573774:+	0	0	0	1	0	0	0	0
FBgn0015907:chr2R:16490492:+	1	0	0	0	0	0	0	0
FBgn0016032:chr2R:2937301:+	0	2	0	0	0	0	0	0
FBgn0016059:chr2R:13570499:-	1	0	0	0	0	0	0	0
FBgn0016059:chr2R:13571000:-	1	0	0	0	0	0	0	0
FBgn0016070:chr3L:8990346:-	0	0	0	0	0	0	0	1
FBgn0016070:chr3L:8991089:-	0	0	0	0	0	0	0	1
FBgn0016075:chr2L:5027412:-	1	0	0	0	0	0	0	0
FBgn0016076:chr2L:5305708:+	0	0	0	0	1	0	1	0
FBgn0016076:chr2L:5305722:+	0	0	0	0	1	0	1	0
FBgn0016081:chr3L:9672203:-	0	2	0	0	0	0	0	0
FBgn0016660:chr2L:5404342:+	1	0	0	0	0	0	0	0
FBgn0016694:chr3L:7821118:-	1	0	0	0	0	0	0	0
FBgn0016797:chr3L:19228191:-	2	0	0	0	0	0	0	0
FBgn0016930:chr2L:14234108:-	1	0	0	0	0	0	0	0
FBgn0017397:chr3R:17867914:+	0	4	0	0	0	0	0	0
FBgn0017561:chrX:10784853:-	1	0	0	0	0	0	0	0
FBgn0017561:chrX:10784957:-	1	0	0	0	0	0	0	0
FBgn0017590:chr3R:18725024:+	1	0	0	0	0	0	0	0
FBgn0019809:chr2L:9608479:+	1	0	0	0	0	0	0	0
FBgn0019929:chrX:9759251:+	1	0	0	0	0	0	0	0
FBgn0020238:chr3R:14068253:+	1	0	0	0	0	0	0	0
FBgn0020248:chr3L:1478931:-	0	2	0	0	0	0	0	0
FBgn0020249:chr3R:4183057:+	0	2	0	0	0	0	0	0
FBgn0020299:chr3R:10418185:+	1	0	0	0	0	0	0	0
FBgn0020306:chr2R:17210949:+	1	0	0	0	0	0	0	0
FBgn0020306:chr2R:17210964:+	1	0	0	0	0	0	0	0
FBgn0020378:chrX:9623708:+	1	0	0	0	0	0	0	0
FBgn0020378:chrX:9624180:+	1	0	0	0	0	0	0	0
FBgn0020496:chr3R:8837388:+	2	0	0	0	0	0	0	0
FBgn0020496:chr3R:8837487:+	2	0	0	0	0	0	0	0
FBgn0020517:chr3R:6512665:+	1	0	0	0	0	0	0	0
FBgn0020617:chr2R:16804285:+	1	0	0	0	0	0	0	0
FBgn0020621:chr2R:5172602:-	1	0	0	0	0	0	0	0
FBgn0020647:chr3R:19857096:-	1	0	0	0	0	0	0	0
FBgn0020907:chr3R:12409382:-	1	0	0	0	0	0	0	0
FBgn0020912:chr3R:26738610:+	1	0	0	0	0	0	0	0
FBgn0021764:chrX:580873:+	1	0	0	0	0	0	0	0
FBgn0021873:chr2L:6323767:+	0	0	0	0	0	0	0	1
FBgn0023001:chr3L:7127618:+	1	0	0	0	0	0	0	0
FBgn0023096:chr2L:17982472:-	0	0	0	1	0	0	0	0
FBgn0023215:chrX:3582270:+	1	0	0	0	0	0	0	0
FBgn0023215:chrX:3582288:+	1	0	0	0	0	0	0	0
FBgn0023215:chrX:3583398:+	1	0	0	0	0	0	0	0
FBgn0023407:chr2L:13549323:-	0	0	0	0	0	2	0	0
FBgn0023415:chr2L:11015642:+	1	0	0	0	0	0	0	0
FBgn0023417:chr3L:21591958:+	1	0	0	0	0	0	0	1
FBgn0023444:chr2L:415069:+	0	2	0	0	0	0	0	0
FBgn0024179:chr3L:4071713:-	0	0	2	0	0	0	0	0
FBgn0024184:chrX:17663416:+	3	0	0	0	0	0	0	0
FBgn0024238:chrX:17194654:-	1	0	0	0	0	0	0	0
FBgn0024244:chr2L:3539251:+	1	0	0	0	0	0	0	0
FBgn0024244:chr2L:3539735:+	1	0	0	0	0	0	0	0
FBgn0024249:chr2R:12165863:-	0	0	0	0	1	2	1	0
FBgn0024250:chrX:7201974:+	2	0	0	0	0	0	0	0
FBgn0024251:chrX:21239063:+	2	0	0	0	0	0	0	0
FBgn0024277:chr3L:1022889:-	1	0	0	0	0	0	0	0
FBgn0024294:chr2R:3035203:+	1	0	0	0	0	0	0	0
FBgn0024308:chrX:12636108:-	1	0	0	0	0	0	0	0
FBgn0024308:chrX:12636476:-	1	0	0	0	0	0	0	0
FBgn0024315:chr2R:12555183:-	1	0	0	0	0	0	0	0
FBgn0024734:chr2L:16251786:-	0	0	0	1	0	0	0	0
FBgn0024753:chrX:14823754:+	0	4	0	0	0	0	0	0
FBgn0024753:chrX:14824137:+	0	4	0	0	0	0	0	0
FBgn0024753:chrX:14824349:+	0	4	0	0	0	0	0	0
FBgn0024754:chr2R:11456907:-	0	2	0	0	0	0	0	0
FBgn0024947:chr2L:2883113:-	1	0	0	0	0	0	0	0
FBgn0024947:chr2L:2883126:-	1	0	0	0	0	0	0	0
FBgn0024963:chr3R:15556681:+	2	0	0	0	0	0	0	0
FBgn0024980:chrX:2638099:-	1	0	0	0	0	0	0	0
FBgn0024989:chrX:237078:+	1	0	0	0	0	0	0	0
FBgn0025111:chrX:10680913:-	0	0	0	0	0	0	1	0
FBgn0025373:chr2R:7195070:-	0	0	0	0	0	0	0	1
FBgn0025394:chrX:1407092:+	1	0	0	0	0	0	0	0
FBgn0025455:chr3L:17550888:-	1	0	0	0	0	0	0	0
FBgn0025525:chr3L:1177274:-	2	0	0	0	0	0	0	0
FBgn0025878:chr2R:18267017:+	0	0	0	0	1	2	1	0
FBgn0026059:chr3R:11908792:-	0	2	0	0	0	0	0	0
FBgn0026059:chr3R:11919271:-	1	0	0	0	0	0	0	0
FBgn0026063:chr3R:7178853:-	0	2	0	0	0	0	0	0
FBgn0026064:chr3R:7178853:-	0	2	0	0	0	0	0	0
FBgn0026077:chr3R:1926609:-	3	0	0	0	0	0	0	0
FBgn0026179:chr3L:21051932:+	1	0	0	0	0	0	0	0
FBgn0026188:chr3R:5243664:+	1	0	0	0	0	0	0	0
FBgn0026239:chr3R:14809747:+	1	0	0	0	0	0	0	0
FBgn0026411:chrX:8699808:-	1	0	0	0	0	0	0	0
FBgn0026439:chr2L:9333568:+	1	0	0	0	0	0	0	0
FBgn0026439:chr2L:9333590:+	1	0	0	0	0	0	0	0
FBgn0026620:chr3R:574777:-	0	0	0	0	0	0	0	1
FBgn0026876:chrX:1133925:-	1	0	0	0	0	0	0	0
FBgn0027066:chr2R:2637037:+	0	2	0	0	0	0	0	0
FBgn0027081:chr2L:12103734:+	0	2	0	0	0	0	0	0
FBgn0027081:chr2L:12103786:+	0	2	0	0	0	0	0	0
FBgn0027081:chr2L:12104283:+	0	2	0	0	0	0	0	0
FBgn0027094:chr2L:8381668:-	0	0	0	0	1	2	1	0
FBgn0027094:chr2L:8381756:-	0	0	0	0	1	2	1	0
FBgn0027280:chrX:7838696:-	1	0	0	0	0	0	0	0
FBgn0027287:chrX:15393043:+	1	0	0	0	0	0	0	0
FBgn0027492:chr3R:23406997:-	1	0	0	0	0	0	0	0
FBgn0027494:chr3R:23478558:+	1	0	0	0	0	0	0	0
FBgn0027495:chr2R:8028110:+	1	0	0	0	0	0	0	0
FBgn0027497:chr3R:1568214:+	1	0	0	0	0	0	0	0
FBgn0027527:chr3R:2060431:+	1	0	0	0	0	0	0	0
FBgn0027546:chrX:5894830:-	1	0	0	0	0	2	0	0
FBgn0027556:chrX:16807231:+	1	0	0	0	0	0	0	0
FBgn0027596:chr2R:10799719:-	0	0	0	0	0	0	0	1
FBgn0027655:chr3R:24521964:+	0	2	0	0	0	0	0	0
FBgn0027788:chr2R:3886078:-	2	0	0	0	0	0	1	0
FBgn0027790:chr3L:1810589:+	1	0	0	0	0	0	0	0
